role_id,role_name,category,skill_id,skill_name,importance
7,Arts and Craft Teacher,Teaching,648,Visual Arts,secondary
7,Arts and Craft Teacher,Teaching,400,Photography,bonus
7,Arts and Craft Teacher,Teaching,195,Typography,bonus
8,Computer Science Teacher,Teaching,528,Algorithms,core
8,Computer Science Teacher,Teaching,635,Computer Fundamentals,core
8,Computer Science Teacher,Teaching,527,Data Structures,core
8,Computer Science Teacher,Teaching,631,Programming,core
8,Computer Science Teacher,Teaching,1,Python,core
8,Computer Science Teacher,Teaching,632,Database Management,secondary
8,Computer Science Teacher,Teaching,633,Networking Basics,secondary
8,Computer Science Teacher,Teaching,634,Web Technologies,secondary
8,Computer Science Teacher,Teaching,636,MS Office,bonus
9,University Professor,Teaching,702,Academic Writing,core
9,University Professor,Teaching,479,Grant Writing,core
9,University Professor,Teaching,495,Mentoring,core
9,University Professor,Teaching,703,Publication,core
9,University Professor,Teaching,496,Research Skills,core
9,University Professor,Teaching,373,Strategic Planning,core
9,University Professor,Teaching,670,Subject Matter Expertise,core
9,University Professor,Teaching,274,Academic Administration,secondary
9,University Professor,Teaching,483,Communication,secondary
9,University Professor,Teaching,260,Curriculum Development,secondary
9,University Professor,Teaching,710,Literature Review,secondary
9,University Professor,Teaching,261,Student Assessment,secondary
9,University Professor,Teaching,709,Data Collection,bonus
9,University Professor,Teaching,708,Statistical Analysis,bonus
10,Assistant Professor,Teaching,702,Academic Writing,core
10,Assistant Professor,Teaching,483,Communication,core
10,Assistant Professor,Teaching,492,Presentation Skills,core
10,Assistant Professor,Teaching,703,Publication,core
10,Assistant Professor,Teaching,496,Research Skills,core
10,Assistant Professor,Teaching,261,Student Assessment,core
10,Assistant Professor,Teaching,670,Subject Matter Expertise,core
10,Assistant Professor,Teaching,274,Academic Administration,secondary
10,Assistant Professor,Teaching,260,Curriculum Development,secondary
10,Assistant Professor,Teaching,479,Grant Writing,secondary
10,Assistant Professor,Teaching,710,Literature Review,secondary
10,Assistant Professor,Teaching,495,Mentoring,secondary
10,Assistant Professor,Teaching,709,Data Collection,bonus
10,Assistant Professor,Teaching,708,Statistical Analysis,bonus
11,Research Scholar,Teaching,702,Academic Writing,core
11,Research Scholar,Teaching,497,Analytical Thinking,core
11,Research Scholar,Teaching,709,Data Collection,core
11,Research Scholar,Teaching,710,Literature Review,core
11,Research Scholar,Teaching,703,Publication,core
11,Research Scholar,Teaching,496,Research Skills,core
11,Research Scholar,Teaching,708,Statistical Analysis,core
11,Research Scholar,Teaching,1,Python,secondary
11,Research Scholar,Teaching,711,Qualitative Research,secondary
11,Research Scholar,Teaching,712,Quantitative Research,secondary
11,Research Scholar,Teaching,15,R,secondary
11,Research Scholar,Teaching,550,SPSS,secondary
11,Research Scholar,Teaching,704,Conference Presentations,bonus
11,Research Scholar,Teaching,479,Grant Writing,bonus
12,Lecturer,Teaching,702,Academic Writing,core
12,Lecturer,Teaching,483,Communication,core
12,Lecturer,Teaching,659,Facilitation,core
12,Lecturer,Teaching,495,Mentoring,core
12,Lecturer,Teaching,492,Presentation Skills,core
12,Lecturer,Teaching,261,Student Assessment,core
12,Lecturer,Teaching,670,Subject Matter Expertise,core
12,Lecturer,Teaching,274,Academic Administration,secondary
12,Lecturer,Teaching,260,Curriculum Development,secondary
12,Lecturer,Teaching,267,Educational Psychology,secondary
12,Lecturer,Teaching,273,Exam Preparation,secondary
12,Lecturer,Teaching,496,Research Skills,secondary
12,Lecturer,Teaching,278,E-Learning Development,bonus
12,Lecturer,Teaching,703,Publication,bonus
13,Dean of Faculty,Teaching,274,Academic Administration,core
13,Dean of Faculty,Teaching,494,Decision Making,core
13,Dean of Faculty,Teaching,693,Faculty Management,core
13,Dean of Faculty,Teaching,484,Leadership,core
13,Dean of Faculty,Teaching,685,Policy Implementation,core
13,Dean of Faculty,Teaching,694,Research Oversight,core
13,Dean of Faculty,Teaching,373,Strategic Planning,core
13,Dean of Faculty,Teaching,692,Accreditation,secondary
13,Dean of Faculty,Teaching,686,Budget Management,secondary
13,Dean of Faculty,Teaching,705,Industry Collaboration,secondary
13,Dean of Faculty,Teaching,689,Performance Appraisal,secondary
13,Dean of Faculty,Teaching,362,Succession Planning,secondary
13,Dean of Faculty,Teaching,479,Grant Writing,bonus
13,Dean of Faculty,Teaching,359,Organizational Development,bonus
14,HOD Academic,Teaching,274,Academic Administration,core
14,HOD Academic,Teaching,260,Curriculum Development,core
14,HOD Academic,Teaching,695,Department Management,core
14,HOD Academic,Teaching,484,Leadership,core
14,HOD Academic,Teaching,689,Performance Appraisal,core
14,HOD Academic,Teaching,684,Staff Management,core
14,HOD Academic,Teaching,373,Strategic Planning,core
14,HOD Academic,Teaching,692,Accreditation,secondary
14,HOD Academic,Teaching,686,Budget Management,secondary
14,HOD Academic,Teaching,495,Mentoring,secondary
14,HOD Academic,Teaching,694,Research Oversight,secondary
14,HOD Academic,Teaching,691,Timetabling,secondary
14,HOD Academic,Teaching,479,Grant Writing,bonus
14,HOD Academic,Teaching,705,Industry Collaboration,bonus
15,Education Researcher,Teaching,702,Academic Writing,core
15,Education Researcher,Teaching,709,Data Collection,core
15,Education Researcher,Teaching,707,Educational Research,core
15,Education Researcher,Teaching,710,Literature Review,core
15,Education Researcher,Teaching,703,Publication,core
15,Education Researcher,Teaching,496,Research Skills,core
15,Education Researcher,Teaching,708,Statistical Analysis,core
15,Education Researcher,Teaching,711,Qualitative Research,secondary
15,Education Researcher,Teaching,712,Quantitative Research,secondary
15,Education Researcher,Teaching,15,R,secondary
15,Education Researcher,Teaching,550,SPSS,secondary
15,Education Researcher,Teaching,713,Survey Design,secondary
15,Education Researcher,Teaching,704,Conference Presentations,bonus
15,Education Researcher,Teaching,479,Grant Writing,bonus
15,Education Researcher,Teaching,1,Python,bonus
16,Special Education Teacher,Teaching,725,Behavioral Intervention,core
16,Special Education Teacher,Teaching,269,Child Development,core
16,Special Education Teacher,Teaching,483,Communication,core
16,Special Education Teacher,Teaching,280,Differentiated Instruction,core
16,Special Education Teacher,Teaching,490,Emotional Intelligence,core
16,Special Education Teacher,Teaching,726,Individualized Education Plan,core
16,Special Education Teacher,Teaching,262,Special Needs Education,core
16,Special Education Teacher,Teaching,476,Child Protection,secondary
16,Special Education Teacher,Teaching,477,Counselling,secondary
16,Special Education Teacher,Teaching,267,Educational Psychology,secondary
16,Special Education Teacher,Teaching,565,Parent Communication,secondary
16,Special Education Teacher,Teaching,566,Remedial Teaching,secondary
16,Special Education Teacher,Teaching,259,Classroom Management,bonus
17,Learning Disability Specialist,Teaching,269,Child Development,core
17,Learning Disability Specialist,Teaching,483,Communication,core
17,Learning Disability Specialist,Teaching,733,Dyslexia Support,core
17,Learning Disability Specialist,Teaching,726,Individualized Education Plan,core
17,Learning Disability Specialist,Teaching,732,Learning Disability Assessment,core
17,Learning Disability Specialist,Teaching,566,Remedial Teaching,core
17,Learning Disability Specialist,Teaching,262,Special Needs Education,core
17,Learning Disability Specialist,Teaching,725,Behavioral Intervention,secondary
17,Learning Disability Specialist,Teaching,280,Differentiated Instruction,secondary
17,Learning Disability Specialist,Teaching,267,Educational Psychology,secondary
17,Learning Disability Specialist,Teaching,490,Emotional Intelligence,secondary
17,Learning Disability Specialist,Teaching,565,Parent Communication,secondary
17,Learning Disability Specialist,Teaching,259,Classroom Management,bonus
18,Autism Spectrum Educator,Teaching,727,Autism Spectrum Support,core
18,Autism Spectrum Educator,Teaching,725,Behavioral Intervention,core
18,Autism Spectrum Educator,Teaching,269,Child Development,core
18,Autism Spectrum Educator,Teaching,483,Communication,core
18,Autism Spectrum Educator,Teaching,726,Individualized Education Plan,core
18,Autism Spectrum Educator,Teaching,735,Sensory Integration,core
18,Autism Spectrum Educator,Teaching,262,Special Needs Education,core
18,Autism Spectrum Educator,Teaching,477,Counselling,secondary
18,Autism Spectrum Educator,Teaching,280,Differentiated Instruction,secondary
18,Autism Spectrum Educator,Teaching,267,Educational Psychology,secondary
18,Autism Spectrum Educator,Teaching,490,Emotional Intelligence,secondary
18,Autism Spectrum Educator,Teaching,565,Parent Communication,secondary
18,Autism Spectrum Educator,Teaching,259,Classroom Management,bonus
19,Speech Language Pathologist,Teaching,231,Anatomy,core
19,Speech Language Pathologist,Teaching,740,Articulation Therapy,core
19,Speech Language Pathologist,Teaching,741,Audiology Basics,core
19,Speech Language Pathologist,Teaching,269,Child Development,core
19,Speech Language Pathologist,Teaching,483,Communication,core
19,Speech Language Pathologist,Teaching,739,Language Disorders,core
19,Speech Language Pathologist,Teaching,738,Speech Therapy,core
19,Speech Language Pathologist,Teaching,730,Augmentative Communication,secondary
19,Speech Language Pathologist,Teaching,733,Dyslexia Support,secondary
19,Speech Language Pathologist,Teaching,565,Parent Communication,secondary
19,Speech Language Pathologist,Teaching,607,Phonics,secondary
19,Speech Language Pathologist,Teaching,262,Special Needs Education,secondary
19,Speech Language Pathologist,Teaching,737,Cognitive Assessment,bonus
19,Speech Language Pathologist,Teaching,731,Play Therapy,bonus
20,Inclusive Education Coordinator,Teaching,274,Academic Administration,core
20,Inclusive Education Coordinator,Teaching,269,Child Development,core
20,Inclusive Education Coordinator,Teaching,483,Communication,core
20,Inclusive Education Coordinator,Teaching,734,Inclusive Education,core
20,Inclusive Education Coordinator,Teaching,726,Individualized Education Plan,core
20,Inclusive Education Coordinator,Teaching,685,Policy Implementation,core
20,Inclusive Education Coordinator,Teaching,262,Special Needs Education,core
20,Inclusive Education Coordinator,Teaching,725,Behavioral Intervention,secondary
20,Inclusive Education Coordinator,Teaching,280,Differentiated Instruction,secondary
20,Inclusive Education Coordinator,Teaching,565,Parent Communication,secondary
20,Inclusive Education Coordinator,Teaching,688,Regulatory Compliance,secondary
20,Inclusive Education Coordinator,Teaching,698,Staff Training,secondary
20,Inclusive Education Coordinator,Teaching,730,Augmentative Communication,bonus
20,Inclusive Education Coordinator,Teaching,736,Sign Language,bonus
21,Online Tutor,Teaching,483,Communication,core
21,Online Tutor,Teaching,672,Feedback and Assessment,core
21,Online Tutor,Teaching,258,Lesson Planning,core
21,Online Tutor,Teaching,263,Online Teaching,core
21,Online Tutor,Teaching,261,Student Assessment,core
21,Online Tutor,Teaching,670,Subject Matter Expertise,core
21,Online Tutor,Teaching,266,Zoom Teaching,core
21,Online Tutor,Teaching,280,Differentiated Instruction,secondary
21,Online Tutor,Teaching,664,Digital Content Creation,secondary
21,Online Tutor,Teaching,267,Educational Psychology,secondary
21,Online Tutor,Teaching,273,Exam Preparation,secondary
21,Online Tutor,Teaching,264,LMS Platforms,secondary
21,Online Tutor,Teaching,399,Video Production,bonus
22,EdTech Content Creator,Teaching,483,Communication,core
22,EdTech Content Creator,Teaching,498,Creativity,core
22,EdTech Content Creator,Teaching,664,Digital Content Creation,core
22,EdTech Content Creator,Teaching,278,E-Learning Development,core
22,EdTech Content Creator,Teaching,277,Instructional Design,core
22,EdTech Content Creator,Teaching,665,Storyboarding,core
22,EdTech Content Creator,Teaching,399,Video Production,core
22,EdTech Content Creator,Teaching,412,Blogging,secondary
22,EdTech Content Creator,Teaching,673,Gamification,secondary
22,EdTech Content Creator,Teaching,755,Graphic Design,secondary
22,EdTech Content Creator,Teaching,666,Multimedia Design,secondary
22,EdTech Content Creator,Teaching,405,Social Media Content,secondary
22,EdTech Content Creator,Teaching,186,Canva,bonus
22,EdTech Content Creator,Teaching,753,YouTube SEO,bonus
23,E-Learning Developer,Teaching,664,Digital Content Creation,core
23,E-Learning Developer,Teaching,278,E-Learning Development,core
23,E-Learning Developer,Teaching,277,Instructional Design,core
23,E-Learning Developer,Teaching,264,LMS Platforms,core
23,E-Learning Developer,Teaching,666,Multimedia Design,core
23,E-Learning Developer,Teaching,674,SCORM,core
23,E-Learning Developer,Teaching,665,Storyboarding,core
23,E-Learning Developer,Teaching,676,Adobe Captivate,secondary
23,E-Learning Developer,Teaching,675,Articulate Storyline,secondary
23,E-Learning Developer,Teaching,669,Assessment Design,secondary
23,E-Learning Developer,Teaching,673,Gamification,secondary
23,E-Learning Developer,Teaching,755,Graphic Design,secondary
23,E-Learning Developer,Teaching,40,CSS,bonus
23,E-Learning Developer,Teaching,39,HTML,bonus
23,E-Learning Developer,Teaching,6,JavaScript,bonus
24,MOOC Instructor,Teaching,483,Communication,core
24,MOOC Instructor,Teaching,664,Digital Content Creation,core
24,MOOC Instructor,Teaching,278,E-Learning Development,core
24,MOOC Instructor,Teaching,264,LMS Platforms,core
24,MOOC Instructor,Teaching,263,Online Teaching,core
24,MOOC Instructor,Teaching,261,Student Assessment,core
24,MOOC Instructor,Teaching,399,Video Production,core
24,MOOC Instructor,Teaching,273,Exam Preparation,secondary
24,MOOC Instructor,Teaching,672,Feedback and Assessment,secondary
24,MOOC Instructor,Teaching,277,Instructional Design,secondary
24,MOOC Instructor,Teaching,674,SCORM,secondary
24,MOOC Instructor,Teaching,665,Storyboarding,secondary
24,MOOC Instructor,Teaching,266,Zoom Teaching,bonus
25,Virtual Classroom Teacher,Teaching,259,Classroom Management,core
25,Virtual Classroom Teacher,Teaching,483,Communication,core
25,Virtual Classroom Teacher,Teaching,664,Digital Content Creation,core
25,Virtual Classroom Teacher,Teaching,258,Lesson Planning,core
25,Virtual Classroom Teacher,Teaching,263,Online Teaching,core
25,Virtual Classroom Teacher,Teaching,261,Student Assessment,core
25,Virtual Classroom Teacher,Teaching,266,Zoom Teaching,core
25,Virtual Classroom Teacher,Teaching,280,Differentiated Instruction,secondary
25,Virtual Classroom Teacher,Teaching,267,Educational Psychology,secondary
25,Virtual Classroom Teacher,Teaching,273,Exam Preparation,secondary
25,Virtual Classroom Teacher,Teaching,672,Feedback and Assessment,secondary
25,Virtual Classroom Teacher,Teaching,264,LMS Platforms,secondary
25,Virtual Classroom Teacher,Teaching,265,Google Classroom,bonus
25,Virtual Classroom Teacher,Teaching,399,Video Production,bonus
26,Education Technology Specialist,Teaching,664,Digital Content Creation,core
26,Education Technology Specialist,Teaching,581,DIKSHA,core
26,Education Technology Specialist,Teaching,278,E-Learning Development,core
26,Education Technology Specialist,Teaching,277,Instructional Design,core
26,Education Technology Specialist,Teaching,700,IT Support,core
26,Education Technology Specialist,Teaching,264,LMS Platforms,core
26,Education Technology Specialist,Teaching,582,Smart Board,core
26,Education Technology Specialist,Teaching,701,Data Analytics,secondary
26,Education Technology Specialist,Teaching,673,Gamification,secondary
26,Education Technology Specialist,Teaching,265,Google Classroom,secondary
26,Education Technology Specialist,Teaching,677,Teacher Training,secondary
26,Education Technology Specialist,Teaching,266,Zoom Teaching,secondary
26,Education Technology Specialist,Teaching,40,CSS,bonus
26,Education Technology Specialist,Teaching,39,HTML,bonus
27,Corporate Trainer,Teaching,483,Communication,core
27,Corporate Trainer,Teaching,276,Corporate Training,core
27,Corporate Trainer,Teaching,659,Facilitation,core
27,Corporate Trainer,Teaching,277,Instructional Design,core
27,Corporate Trainer,Teaching,660,Needs Assessment,core
27,Corporate Trainer,Teaching,492,Presentation Skills,core
27,Corporate Trainer,Teaching,360,Training and Development,core
27,Corporate Trainer,Teaching,272,Coaching Techniques,secondary
27,Corporate Trainer,Teaching,484,Leadership,secondary
27,Corporate Trainer,Teaching,349,Performance Management,secondary
27,Corporate Trainer,Teaching,661,Soft Skills Training,secondary
27,Corporate Trainer,Teaching,678,Team Building,secondary
27,Corporate Trainer,Teaching,278,E-Learning Development,bonus
27,Corporate Trainer,Teaching,264,LMS Platforms,bonus
28,Leadership Development Trainer,Teaching,272,Coaching Techniques,core
28,Leadership Development Trainer,Teaching,483,Communication,core
28,Leadership Development Trainer,Teaching,276,Corporate Training,core
28,Leadership Development Trainer,Teaching,659,Facilitation,core
28,Leadership Development Trainer,Teaching,484,Leadership,core
28,Leadership Development Trainer,Teaching,373,Strategic Planning,core
28,Leadership Development Trainer,Teaching,678,Team Building,core
28,Leadership Development Trainer,Teaching,493,Conflict Resolution,secondary
28,Leadership Development Trainer,Teaching,494,Decision Making,secondary
28,Leadership Development Trainer,Teaching,490,Emotional Intelligence,secondary
28,Leadership Development Trainer,Teaching,495,Mentoring,secondary
28,Leadership Development Trainer,Teaching,349,Performance Management,secondary
28,Leadership Development Trainer,Teaching,359,Organizational Development,bonus
28,Leadership Development Trainer,Teaching,362,Succession Planning,bonus
29,Technical Trainer,Teaching,276,Corporate Training,core
29,Technical Trainer,Teaching,659,Facilitation,core
29,Technical Trainer,Teaching,277,Instructional Design,core
29,Technical Trainer,Teaching,660,Needs Assessment,core
29,Technical Trainer,Teaching,492,Presentation Skills,core
29,Technical Trainer,Teaching,270,STEM Teaching,core
29,Technical Trainer,Teaching,360,Training and Development,core
29,Technical Trainer,Teaching,278,E-Learning Development,secondary
29,Technical Trainer,Teaching,636,MS Office,secondary
29,Technical Trainer,Teaching,349,Performance Management,secondary
29,Technical Trainer,Teaching,1,Python,secondary
29,Technical Trainer,Teaching,663,Safety Training,secondary
29,Technical Trainer,Teaching,632,Database Management,bonus
29,Technical Trainer,Teaching,264,LMS Platforms,bonus
30,Soft Skills Trainer,Teaching,483,Communication,core
30,Soft Skills Trainer,Teaching,490,Emotional Intelligence,core
30,Soft Skills Trainer,Teaching,659,Facilitation,core
30,Soft Skills Trainer,Teaching,484,Leadership,core
30,Soft Skills Trainer,Teaching,492,Presentation Skills,core
30,Soft Skills Trainer,Teaching,661,Soft Skills Training,core
30,Soft Skills Trainer,Teaching,678,Team Building,core
30,Soft Skills Trainer,Teaching,493,Conflict Resolution,secondary
30,Soft Skills Trainer,Teaching,720,Interview Skills,secondary
30,Soft Skills Trainer,Teaching,491,Negotiation,secondary
30,Soft Skills Trainer,Teaching,754,Public Speaking,secondary
30,Soft Skills Trainer,Teaching,488,Time Management,secondary
30,Soft Skills Trainer,Teaching,272,Coaching Techniques,bonus
30,Soft Skills Trainer,Teaching,276,Corporate Training,bonus
31,Sales Trainer,Teaching,272,Coaching Techniques,core
31,Sales Trainer,Teaching,483,Communication,core
31,Sales Trainer,Teaching,276,Corporate Training,core
31,Sales Trainer,Teaching,491,Negotiation,core
31,Sales Trainer,Teaching,681,Objection Handling,core
31,Sales Trainer,Teaching,492,Presentation Skills,core
31,Sales Trainer,Teaching,679,Sales Training,core
31,Sales Trainer,Teaching,306,CRM,secondary
31,Sales Trainer,Teaching,680,Lead Generation,secondary
31,Sales Trainer,Teaching,349,Performance Management,secondary
31,Sales Trainer,Teaching,682,Sales Analytics,secondary
31,Sales Trainer,Teaching,678,Team Building,secondary
31,Sales Trainer,Teaching,298,Brand Management,bonus
31,Sales Trainer,Teaching,294,Salesforce,bonus
32,UPSC Coach,Teaching,630,Current Affairs,core
32,UPSC Coach,Teaching,273,Exam Preparation,core
32,UPSC Coach,Teaching,625,Geography,core
32,UPSC Coach,Teaching,624,History,core
32,UPSC Coach,Teaching,627,Political Science,core
32,UPSC Coach,Teaching,449,Public Administration,core
32,UPSC Coach,Teaching,261,Student Assessment,core
32,UPSC Coach,Teaching,626,Civics,secondary
32,UPSC Coach,Teaching,628,Economics Teaching,secondary
32,UPSC Coach,Teaching,629,Map Reading,secondary
32,UPSC Coach,Teaching,450,Policy Analysis,secondary
32,UPSC Coach,Teaching,263,Online Teaching,bonus
32,UPSC Coach,Teaching,496,Research Skills,bonus
33,JEE Coach,Teaching,596,Chemistry,core
33,JEE Coach,Teaching,272,Coaching Techniques,core
33,JEE Coach,Teaching,273,Exam Preparation,core
33,JEE Coach,Teaching,592,Mathematics,core
33,JEE Coach,Teaching,595,Physics,core
33,JEE Coach,Teaching,486,Problem Solving,core
33,JEE Coach,Teaching,261,Student Assessment,core
33,JEE Coach,Teaching,587,Algebra,secondary
33,JEE Coach,Teaching,497,Analytical Thinking,secondary
33,JEE Coach,Teaching,590,Calculus,secondary
33,JEE Coach,Teaching,599,Science Experiments,secondary
33,JEE Coach,Teaching,589,Trigonometry,secondary
33,JEE Coach,Teaching,263,Online Teaching,bonus
33,JEE Coach,Teaching,608,Spoken English,bonus
34,NEET Coach,Teaching,597,Biology,core
34,NEET Coach,Teaching,596,Chemistry,core
34,NEET Coach,Teaching,272,Coaching Techniques,core
34,NEET Coach,Teaching,273,Exam Preparation,core
34,NEET Coach,Teaching,598,Lab Management,core
34,NEET Coach,Teaching,595,Physics,core
34,NEET Coach,Teaching,261,Student Assessment,core
34,NEET Coach,Teaching,497,Analytical Thinking,secondary
34,NEET Coach,Teaching,231,Anatomy,secondary
34,NEET Coach,Teaching,601,Life Sciences,secondary
34,NEET Coach,Teaching,228,Pharmacology,secondary
34,NEET Coach,Teaching,263,Online Teaching,bonus
34,NEET Coach,Teaching,496,Research Skills,bonus
35,CAT Preparation Coach,Teaching,497,Analytical Thinking,core
35,CAT Preparation Coach,Teaching,272,Coaching Techniques,core
35,CAT Preparation Coach,Teaching,273,Exam Preparation,core
35,CAT Preparation Coach,Teaching,715,Logical Reasoning,core
35,CAT Preparation Coach,Teaching,592,Mathematics,core
35,CAT Preparation Coach,Teaching,714,Quantitative Aptitude,core
35,CAT Preparation Coach,Teaching,606,Reading Comprehension,core
35,CAT Preparation Coach,Teaching,630,Current Affairs,secondary
35,CAT Preparation Coach,Teaching,603,Grammar,secondary
35,CAT Preparation Coach,Teaching,261,Student Assessment,secondary
35,CAT Preparation Coach,Teaching,609,Writing Skills,secondary
35,CAT Preparation Coach,Teaching,263,Online Teaching,bonus
35,CAT Preparation Coach,Teaching,608,Spoken English,bonus
36,Competitive Exam Trainer,Teaching,497,Analytical Thinking,core
36,Competitive Exam Trainer,Teaching,272,Coaching Techniques,core
36,Competitive Exam Trainer,Teaching,273,Exam Preparation,core
36,Competitive Exam Trainer,Teaching,715,Logical Reasoning,core
36,Competitive Exam Trainer,Teaching,592,Mathematics,core
36,Competitive Exam Trainer,Teaching,606,Reading Comprehension,core
36,Competitive Exam Trainer,Teaching,261,Student Assessment,core
36,Competitive Exam Trainer,Teaching,630,Current Affairs,secondary
36,Competitive Exam Trainer,Teaching,603,Grammar,secondary
36,Competitive Exam Trainer,Teaching,714,Quantitative Aptitude,secondary
36,Competitive Exam Trainer,Teaching,609,Writing Skills,secondary
36,Competitive Exam Trainer,Teaching,263,Online Teaching,bonus
37,Physical Education Teacher,Teaching,461,Athletic Training,core
37,Physical Education Teacher,Teaching,466,Fitness Assessment,core
37,Physical Education Teacher,Teaching,465,Game Strategy,core
37,Physical Education Teacher,Teaching,283,Physical Education,core
37,Physical Education Teacher,Teaching,284,Sports Coaching,core
37,Physical Education Teacher,Teaching,641,Athletics,secondary
37,Physical Education Teacher,Teaching,638,Cricket Coaching,secondary
37,Physical Education Teacher,Teaching,637,Football Coaching,secondary
37,Physical Education Teacher,Teaching,639,Kabaddi,bonus
37,Physical Education Teacher,Teaching,642,Swimming,bonus
37,Physical Education Teacher,Teaching,640,Yoga Teaching,bonus
38,Sports Coach (PE),Teaching,461,Athletic Training,core
38,Sports Coach (PE),Teaching,466,Fitness Assessment,core
38,Sports Coach (PE),Teaching,465,Game Strategy,core
38,Sports Coach (PE),Teaching,283,Physical Education,core
38,Sports Coach (PE),Teaching,284,Sports Coaching,core
38,Sports Coach (PE),Teaching,463,Sports Nutrition,core
38,Sports Coach (PE),Teaching,470,Team Management,core
38,Sports Coach (PE),Teaching,641,Athletics,secondary
38,Sports Coach (PE),Teaching,638,Cricket Coaching,secondary
38,Sports Coach (PE),Teaching,637,Football Coaching,secondary
38,Sports Coach (PE),Teaching,751,Injury Prevention,secondary
38,Sports Coach (PE),Teaching,464,Sports Psychology,secondary
38,Sports Coach (PE),Teaching,639,Kabaddi,bonus
38,Sports Coach (PE),Teaching,642,Swimming,bonus
38,Sports Coach (PE),Teaching,640,Yoga Teaching,bonus
39,Yoga Instructor,Teaching,231,Anatomy,core
39,Yoga Instructor,Teaching,748,Breathing Techniques,core
39,Yoga Instructor,Teaching,483,Communication,core
39,Yoga Instructor,Teaching,466,Fitness Assessment,core
39,Yoga Instructor,Teaching,749,Meditation,core
39,Yoga Instructor,Teaching,283,Physical Education,core
39,Yoga Instructor,Teaching,640,Yoga Teaching,core
39,Yoga Instructor,Teaching,461,Athletic Training,secondary
39,Yoga Instructor,Teaching,467,Personal Training,secondary
39,Yoga Instructor,Teaching,463,Sports Nutrition,secondary
